ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
46.0,-80.0281938153882,39.2945065544286
45.0,-81.314004460367,38.0079296337376
26.0,-117.959607842264,37.7935001469558
31.0,-117.745306068101,37.7935001469558
25.0,-117.316702519775,37.7935001469558
27.0,-118.602513164754,37.5790706601739
26.0,-118.38821139059,37.5790706601739
21.0,-117.316702519775,37.5790706601739
20.0,-117.102400745612,37.5790706601739
24.0,-116.888098971449,37.5790706601739
30.0,-118.602513164754,37.3646411733921
29.0,-117.531004293938,37.3646411733921
27.0,-116.888098971449,37.3646411733921
25.0,-115.816590100633,37.3646411733921
27.0,-115.387986552307,37.3646411733921
23.0,-117.531004293938,37.1502116866103
22.0,-116.888098971449,37.1502116866103
25.0,-116.673797197285,37.1502116866103
22.0,-116.030891874796,37.1502116866103
27.0,-115.816590100633,37.1502116866103
25.0,-115.60228832647,37.1502116866103
35.0,-120.745530906385,36.9357821998284
32.0,-119.245418487243,36.9357821998284
23.0,-118.38821139059,36.9357821998284
30.0,-117.959607842264,36.9357821998284
31.0,-117.102400745612,36.9357821998284
28.0,-116.459495423122,36.9357821998284
23.0,-115.816590100633,36.9357821998284
21.0,-115.60228832647,36.9357821998284
25.0,-114.95938300398,36.9357821998284
27.0,-114.530779455654,36.9357821998284
23.0,-114.102175907328,36.9357821998284
23.0,-111.744856391533,36.9357821998284
18.0,-111.53055461737,36.9357821998284
25.0,-111.101951069044,36.9357821998284
24.0,-110.673347520717,36.9357821998284
19.0,-110.244743972391,36.9357821998284
34.0,-120.959832680548,36.7213527130466
36.0,-120.531229132222,36.7213527130466
36.0,-120.316927358059,36.7213527130466
36.0,-120.102625583896,36.7213527130466
18.0,-118.816814938917,36.7213527130466
25.0,-117.531004293938,36.7213527130466
25.0,-117.316702519775,36.7213527130466
24.0,-117.102400745612,36.7213527130466
20.0,-116.673797197285,36.7213527130466
20.0,-116.459495423122,36.7213527130466
23.0,-116.030891874796,36.7213527130466
32.0,-115.60228832647,36.7213527130466
22.0,-115.387986552307,36.7213527130466
25.0,-114.745081229817,36.7213527130466
26.0,-114.530779455654,36.7213527130466
29.0,-114.102175907328,36.7213527130466
25.0,-111.744856391533,36.7213527130466
28.0,-110.673347520717,36.7213527130466
25.0,-119.03111671308,36.5069232262648
27.0,-118.816814938917,36.5069232262648
34.0,-117.959607842264,36.5069232262648
24.0,-116.673797197285,36.5069232262648
25.0,-116.459495423122,36.5069232262648
27.0,-114.102175907328,36.5069232262648
26.0,-113.887874133165,36.5069232262648
35.0,-108.958933327412,36.5069232262648
25.0,-108.744631553249,36.5069232262648
49.0,-97.1723357484395,36.5069232262648
41.0,-96.5294304259501,36.5069232262648
44.0,-96.3151286517869,36.5069232262648
39.0,-96.1008268776238,36.5069232262648
51.0,-95.8865251034606,36.5069232262648
34.0,-120.316927358059,36.2924937394829
36.0,-119.888323809732,36.2924937394829
33.0,-119.674022035569,36.2924937394829
21.0,-118.602513164754,36.2924937394829
22.0,-117.745306068101,36.2924937394829
22.0,-117.531004293938,36.2924937394829
31.0,-117.102400745612,36.2924937394829
27.0,-116.888098971449,36.2924937394829
25.0,-116.673797197285,36.2924937394829
23.0,-116.245193648959,36.2924937394829
35.0,-115.60228832647,36.2924937394829
26.0,-115.387986552307,36.2924937394829
13.0,-111.316252843207,36.2924937394829
24.0,-110.887649294881,36.2924937394829
26.0,-110.673347520717,36.2924937394829
25.0,-108.744631553249,36.2924937394829
43.0,-97.1723357484395,36.2924937394829
49.0,-96.5294304259501,36.2924937394829
55.0,-95.6722233292975,36.2924937394829
50.0,-95.4579215551344,36.2924937394829
35.0,-120.531229132222,36.0780642527011
34.0,-119.459720261406,36.0780642527011
38.0,-119.245418487243,36.0780642527011
20.0,-118.38821139059,36.0780642527011
24.0,-117.959607842264,36.0780642527011
24.0,-117.316702519775,36.0780642527011
26.0,-115.60228832647,36.0780642527011
33.0,-113.887874133165,36.0780642527011
31.0,-113.244968810675,36.0780642527011
28.0,-112.387761714023,36.0780642527011
34.0,-112.173459939859,36.0780642527011
30.0,-111.959158165696,36.0780642527011
23.0,-111.53055461737,36.0780642527011
22.0,-111.316252843207,36.0780642527011
21.0,-111.101951069044,36.0780642527011
23.0,-110.673347520717,36.0780642527011
34.0,-109.173235101575,36.0780642527011
44.0,-97.6009392967658,36.0780642527011
52.0,-95.6722233292975,36.0780642527011
55.0,-95.4579215551344,36.0780642527011
36.0,-119.674022035569,35.8636347659193
23.0,-118.602513164754,35.8636347659193
19.0,-117.531004293938,35.8636347659193
20.0,-117.316702519775,35.8636347659193
33.0,-116.245193648959,35.8636347659193
21.0,-116.030891874796,35.8636347659193
23.0,-115.816590100633,35.8636347659193
23.0,-115.60228832647,35.8636347659193
29.0,-114.95938300398,35.8636347659193
26.0,-114.316477681491,35.8636347659193
24.0,-111.53055461737,35.8636347659193
21.0,-110.673347520717,35.8636347659193
25.0,-110.459045746554,35.8636347659193
39.0,-98.6724481675815,35.8636347659193
36.0,-98.4581463934183,35.8636347659193
48.0,-98.2438446192552,35.8636347659193
47.0,-97.8152410709289,35.8636347659193
38.0,-97.3866375226026,35.8636347659193
37.0,-96.9580339742764,35.8636347659193
33.0,-96.5294304259501,35.8636347659193
33.0,-96.3151286517869,35.8636347659193
40.0,-96.1008268776238,35.8636347659193
49.0,-95.8865251034606,35.8636347659193
36.0,-120.316927358059,35.6492052791374
34.0,-120.102625583896,35.6492052791374
35.0,-119.674022035569,35.6492052791374
33.0,-118.38821139059,35.6492052791374
20.0,-117.745306068101,35.6492052791374
26.0,-117.316702519775,35.6492052791374
24.0,-116.459495423122,35.6492052791374
20.0,-116.030891874796,35.6492052791374
25.0,-115.387986552307,35.6492052791374
29.0,-115.173684778143,35.6492052791374
26.0,-114.95938300398,35.6492052791374
24.0,-114.745081229817,35.6492052791374
25.0,-113.887874133165,35.6492052791374
18.0,-110.673347520717,35.6492052791374
20.0,-110.459045746554,35.6492052791374
38.0,-98.8867499417446,35.6492052791374
33.0,-98.6724481675815,35.6492052791374
34.0,-96.7437322001132,35.6492052791374
39.0,-96.3151286517869,35.6492052791374
47.0,-95.0293180068081,35.6492052791374
34.0,-119.459720261406,35.4347757923556
30.0,-119.03111671308,35.4347757923556
32.0,-118.816814938917,35.4347757923556
22.0,-118.602513164754,35.4347757923556
22.0,-117.959607842264,35.4347757923556
26.0,-117.316702519775,35.4347757923556
23.0,-117.102400745612,35.4347757923556
19.0,-116.888098971449,35.4347757923556
17.0,-116.673797197285,35.4347757923556
19.0,-115.816590100633,35.4347757923556
21.0,-115.60228832647,35.4347757923556
25.0,-115.387986552307,35.4347757923556
22.0,-115.173684778143,35.4347757923556
26.0,-114.745081229817,35.4347757923556
26.0,-114.530779455654,35.4347757923556
26.0,-114.316477681491,35.4347757923556
24.0,-111.101951069044,35.4347757923556
23.0,-110.459045746554,35.4347757923556
27.0,-110.030442198228,35.4347757923556
22.0,-109.816140424065,35.4347757923556
40.0,-98.6724481675815,35.4347757923556
43.0,-98.4581463934183,35.4347757923556
41.0,-98.2438446192552,35.4347757923556
47.0,-97.8152410709289,35.4347757923556
30.0,-97.1723357484395,35.4347757923556
34.0,-96.9580339742764,35.4347757923556
