ISRICSOILGRIDS_new_average_sandpercent_reduced,x,y
48.0,-117.531004293938,37.7935001469558
63.0,-117.316702519775,37.7935001469558
64.0,-116.459495423122,37.7935001469558
55.0,-118.602513164754,37.5790706601739
61.0,-118.38821139059,37.5790706601739
58.0,-117.745306068101,37.5790706601739
67.0,-117.316702519775,37.5790706601739
64.0,-116.245193648959,37.5790706601739
54.0,-118.602513164754,37.3646411733921
63.0,-117.959607842264,37.3646411733921
63.0,-117.316702519775,37.3646411733921
61.0,-116.673797197285,37.3646411733921
62.0,-116.459495423122,37.3646411733921
59.0,-115.816590100633,37.3646411733921
59.0,-118.38821139059,37.1502116866103
58.0,-117.745306068101,37.1502116866103
62.0,-116.888098971449,37.1502116866103
55.0,-111.316252843207,37.1502116866103
39.0,-120.745530906385,36.9357821998284
40.0,-119.459720261406,36.9357821998284
67.0,-118.38821139059,36.9357821998284
58.0,-116.888098971449,36.9357821998284
52.0,-116.459495423122,36.9357821998284
60.0,-115.816590100633,36.9357821998284
64.0,-115.60228832647,36.9357821998284
58.0,-115.387986552307,36.9357821998284
64.0,-115.173684778143,36.9357821998284
59.0,-114.95938300398,36.9357821998284
60.0,-114.745081229817,36.9357821998284
63.0,-114.102175907328,36.9357821998284
45.0,-120.745530906385,36.7213527130466
31.0,-120.531229132222,36.7213527130466
43.0,-119.888323809732,36.7213527130466
73.0,-118.816814938917,36.7213527130466
63.0,-118.173909616427,36.7213527130466
60.0,-117.959607842264,36.7213527130466
63.0,-116.459495423122,36.7213527130466
65.0,-115.816590100633,36.7213527130466
57.0,-114.102175907328,36.7213527130466
40.0,-120.531229132222,36.5069232262648
29.0,-120.102625583896,36.5069232262648
57.0,-119.03111671308,36.5069232262648
58.0,-116.459495423122,36.5069232262648
56.0,-116.245193648959,36.5069232262648
56.0,-114.102175907328,36.5069232262648
56.0,-113.887874133165,36.5069232262648
40.0,-107.244519134107,36.5069232262648
48.0,-119.674022035569,36.2924937394829
74.0,-118.602513164754,36.2924937394829
52.0,-117.959607842264,36.2924937394829
58.0,-117.531004293938,36.2924937394829
49.0,-117.102400745612,36.2924937394829
51.0,-116.030891874796,36.2924937394829
55.0,-115.387986552307,36.2924937394829
72.0,-111.101951069044,36.2924937394829
57.0,-110.673347520717,36.2924937394829
44.0,-110.459045746554,36.2924937394829
42.0,-110.244743972391,36.2924937394829
48.0,-107.45882090827,36.2924937394829
47.0,-102.958483650844,36.2924937394829
40.0,-120.531229132222,36.0780642527011
41.0,-120.316927358059,36.0780642527011
33.0,-120.102625583896,36.0780642527011
45.0,-119.03111671308,36.0780642527011
51.0,-118.816814938917,36.0780642527011
64.0,-118.602513164754,36.0780642527011
55.0,-117.531004293938,36.0780642527011
56.0,-116.673797197285,36.0780642527011
64.0,-116.459495423122,36.0780642527011
55.0,-116.245193648959,36.0780642527011
52.0,-115.387986552307,36.0780642527011
49.0,-113.673572359001,36.0780642527011
59.0,-110.673347520717,36.0780642527011
54.0,-110.459045746554,36.0780642527011
45.0,-108.530329779086,36.0780642527011
45.0,-103.601388973334,36.0780642527011
43.0,-103.387087199171,36.0780642527011
41.0,-119.888323809732,35.8636347659193
60.0,-117.959607842264,35.8636347659193
60.0,-116.673797197285,35.8636347659193
59.0,-116.459495423122,35.8636347659193
44.0,-116.245193648959,35.8636347659193
63.0,-116.030891874796,35.8636347659193
57.0,-115.60228832647,35.8636347659193
54.0,-115.387986552307,35.8636347659193
60.0,-111.316252843207,35.8636347659193
62.0,-110.673347520717,35.8636347659193
47.0,-107.673122682433,35.8636347659193
59.0,-116.459495423122,35.6492052791374
58.0,-116.245193648959,35.6492052791374
64.0,-116.030891874796,35.6492052791374
52.0,-114.102175907328,35.6492052791374
49.0,-113.244968810675,35.6492052791374
66.0,-110.673347520717,35.6492052791374
49.0,-119.03111671308,35.4347757923556
62.0,-118.602513164754,35.4347757923556
54.0,-117.316702519775,35.4347757923556
66.0,-116.888098971449,35.4347757923556
66.0,-116.673797197285,35.4347757923556
60.0,-114.745081229817,35.4347757923556
48.0,-114.102175907328,35.4347757923556
54.0,-113.887874133165,35.4347757923556
57.0,-111.101951069044,35.4347757923556
59.0,-110.459045746554,35.4347757923556
53.0,-110.244743972391,35.4347757923556
44.0,-105.315803166639,35.4347757923556
47.0,-119.674022035569,35.2203463055738
52.0,-119.459720261406,35.2203463055738
54.0,-119.03111671308,35.2203463055738
63.0,-118.38821139059,35.2203463055738
66.0,-117.531004293938,35.2203463055738
64.0,-116.030891874796,35.2203463055738
58.0,-115.816590100633,35.2203463055738
58.0,-115.387986552307,35.2203463055738
44.0,-114.102175907328,35.2203463055738
39.0,-113.459270584838,35.2203463055738
34.0,-112.387761714023,35.2203463055738
37.0,-111.959158165696,35.2203463055738
45.0,-108.316028004923,35.2203463055738
52.0,-105.101501392476,35.2203463055738
45.0,-119.459720261406,35.005916818792
46.0,-118.816814938917,35.005916818792
60.0,-118.38821139059,35.005916818792
59.0,-117.745306068101,35.005916818792
43.0,-117.316702519775,35.005916818792
68.0,-117.102400745612,35.005916818792
62.0,-116.888098971449,35.005916818792
62.0,-116.673797197285,35.005916818792
56.0,-115.387986552307,35.005916818792
62.0,-110.244743972391,35.005916818792
61.0,-110.030442198228,35.005916818792
56.0,-109.387536875739,35.005916818792
40.0,-108.316028004923,35.005916818792
41.0,-106.387312037455,35.005916818792
46.0,-106.173010263291,35.005916818792
66.0,-117.102400745612,34.7914873320101
62.0,-116.888098971449,34.7914873320101
57.0,-115.60228832647,34.7914873320101
61.0,-115.173684778143,34.7914873320101
54.0,-114.316477681491,34.7914873320101
57.0,-114.102175907328,34.7914873320101
48.0,-113.887874133165,34.7914873320101
35.0,-113.030667036512,34.7914873320101
47.0,-111.101951069044,34.7914873320101
58.0,-110.673347520717,34.7914873320101
57.0,-107.030217359944,34.7914873320101
58.0,-106.815915585781,34.7914873320101
60.0,-117.745306068101,34.5770578452283
60.0,-117.316702519775,34.5770578452283
61.0,-116.459495423122,34.5770578452283
55.0,-114.745081229817,34.5770578452283
58.0,-114.316477681491,34.5770578452283
57.0,-113.887874133165,34.5770578452283
50.0,-112.173459939859,34.5770578452283
56.0,-110.459045746554,34.5770578452283
57.0,-109.601838649902,34.5770578452283
54.0,-108.958933327412,34.5770578452283
43.0,-107.673122682433,34.5770578452283
56.0,-107.030217359944,34.5770578452283
44.0,73.197574711258,34.5770578452283
65.0,-116.673797197285,34.3626283584465
65.0,-116.459495423122,34.3626283584465
72.0,-116.245193648959,34.3626283584465
64.0,-115.60228832647,34.3626283584465
57.0,-115.387986552307,34.3626283584465
53.0,-115.173684778143,34.3626283584465
56.0,-114.530779455654,34.3626283584465
57.0,-114.316477681491,34.3626283584465
35.0,-109.816140424065,34.3626283584465
42.0,-109.601838649902,34.3626283584465
44.0,-108.10172623076,34.3626283584465
46.0,-107.887424456597,34.3626283584465
52.0,-106.601613811618,34.3626283584465
35.0,-96.7437322001132,34.3626283584465
37.0,72.7689711629317,34.3626283584465
35.0,72.9832729370948,34.3626283584465
34.0,73.197574711258,34.3626283584465
41.0,-117.745306068101,34.1481988716646
43.0,-117.531004293938,34.1481988716646
44.0,-117.316702519775,34.1481988716646
65.0,-116.245193648959,34.1481988716646
62.0,-114.95938300398,34.1481988716646
59.0,-114.745081229817,34.1481988716646
70.0,-107.673122682433,34.1481988716646
54.0,-107.030217359944,34.1481988716646
57.0,-106.815915585781,34.1481988716646
31.0,72.5546693887686,34.1481988716646
33.0,72.7689711629317,34.1481988716646
34.0,72.9832729370948,34.1481988716646
36.0,73.197574711258,34.1481988716646
55.0,-115.816590100633,33.9337693848828
62.0,-115.60228832647,33.9337693848828
61.0,-115.387986552307,33.9337693848828
45.0,-112.816365262349,33.9337693848828
