ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
46.0,-117.531004293938,37.7935001469558
39.0,-117.316702519775,37.7935001469558
49.0,-116.459495423122,37.7935001469558
79.0,-118.602513164754,37.5790706601739
67.0,-118.38821139059,37.5790706601739
53.0,-117.745306068101,37.5790706601739
35.0,-117.316702519775,37.5790706601739
38.0,-116.245193648959,37.5790706601739
83.0,-118.602513164754,37.3646411733921
60.0,-117.959607842264,37.3646411733921
40.0,-117.316702519775,37.3646411733921
46.0,-116.673797197285,37.3646411733921
42.0,-116.459495423122,37.3646411733921
56.0,-115.816590100633,37.3646411733921
91.0,-118.38821139059,37.1502116866103
47.0,-117.745306068101,37.1502116866103
40.0,-116.888098971449,37.1502116866103
51.0,-111.316252843207,37.1502116866103
94.0,-120.745530906385,36.9357821998284
63.0,-119.459720261406,36.9357821998284
162.0,-118.38821139059,36.9357821998284
46.0,-116.888098971449,36.9357821998284
61.0,-116.459495423122,36.9357821998284
42.0,-115.816590100633,36.9357821998284
36.0,-115.60228832647,36.9357821998284
52.0,-115.387986552307,36.9357821998284
35.0,-115.173684778143,36.9357821998284
33.0,-114.95938300398,36.9357821998284
35.0,-114.745081229817,36.9357821998284
29.0,-114.102175907328,36.9357821998284
101.0,-120.745530906385,36.7213527130466
68.0,-120.531229132222,36.7213527130466
97.0,-119.888323809732,36.7213527130466
131.0,-118.816814938917,36.7213527130466
77.0,-118.173909616427,36.7213527130466
90.0,-117.959607842264,36.7213527130466
46.0,-116.459495423122,36.7213527130466
33.0,-115.816590100633,36.7213527130466
41.0,-114.102175907328,36.7213527130466
93.0,-120.531229132222,36.5069232262648
76.0,-120.102625583896,36.5069232262648
75.0,-119.03111671308,36.5069232262648
40.0,-116.459495423122,36.5069232262648
38.0,-116.245193648959,36.5069232262648
50.0,-114.102175907328,36.5069232262648
37.0,-113.887874133165,36.5069232262648
87.0,-107.244519134107,36.5069232262648
114.0,-119.674022035569,36.2924937394829
133.0,-118.602513164754,36.2924937394829
56.0,-117.959607842264,36.2924937394829
45.0,-117.531004293938,36.2924937394829
118.0,-117.102400745612,36.2924937394829
39.0,-116.030891874796,36.2924937394829
53.0,-115.387986552307,36.2924937394829
40.0,-111.101951069044,36.2924937394829
50.0,-110.673347520717,36.2924937394829
69.0,-110.459045746554,36.2924937394829
78.0,-110.244743972391,36.2924937394829
74.0,-107.45882090827,36.2924937394829
86.0,-102.958483650844,36.2924937394829
81.0,-120.531229132222,36.0780642527011
102.0,-120.316927358059,36.0780642527011
94.0,-120.102625583896,36.0780642527011
-9999.0,-119.03111671308,36.0780642527011
107.0,-118.816814938917,36.0780642527011
147.0,-118.602513164754,36.0780642527011
78.0,-117.531004293938,36.0780642527011
57.0,-116.673797197285,36.0780642527011
37.0,-116.459495423122,36.0780642527011
52.0,-116.245193648959,36.0780642527011
66.0,-115.387986552307,36.0780642527011
122.0,-113.673572359001,36.0780642527011
44.0,-110.673347520717,36.0780642527011
45.0,-110.459045746554,36.0780642527011
55.0,-108.530329779086,36.0780642527011
95.0,-103.601388973334,36.0780642527011
92.0,-103.387087199171,36.0780642527011
128.0,-119.888323809732,35.8636347659193
92.0,-117.959607842264,35.8636347659193
56.0,-116.673797197285,35.8636347659193
46.0,-116.459495423122,35.8636347659193
39.0,-116.245193648959,35.8636347659193
30.0,-116.030891874796,35.8636347659193
41.0,-115.60228832647,35.8636347659193
62.0,-115.387986552307,35.8636347659193
37.0,-111.316252843207,35.8636347659193
42.0,-110.673347520717,35.8636347659193
