"x","y","cluster"
6483156.165,5877643.995,0
6504035.895,5877643.995,0
6462276.435,5856764.265,0
6483156.165,5856764.265,0
6504035.895,5856764.265,0
6524915.625,5856764.265,0
6545795.355,5856764.265,0
6504035.895,5835884.535,0
6524915.625,5835884.535,0
6545795.355,5835884.535,0
6566675.085,5835884.535,0
6524915.625,5815004.805,0
6545795.355,5815004.805,0
6566675.085,5815004.805,0
6587554.815,5794125.075,0
6566675.085,5773245.345,0
6587554.815,5773245.345,0
-8946964.305,5439169.665,4
-8926084.575,5439169.665,4
-8779926.465,5397410.205,4
-8759046.735,5397410.205,4
-8884325.115,5376530.475,4
-8759046.735,5376530.475,4
-8738167.005,5376530.475,4
-8633768.355,5376530.475,4
-8424971.055,5376530.475,4
-156597.975000001,5376530.475,6
-8466730.515,5355650.745,4
-8445850.785,5355650.745,4
-156597.975000001,5355650.745,6
-135718.245000001,5355650.745,6
-114838.515000001,5355650.745,6
-8800806.195,5334771.015,4
-8779926.465,5334771.015,4
-8508489.975,5334771.015,4
-8487610.245,5334771.015,4
-8466730.515,5334771.015,4
-8445850.785,5334771.015,4
-177477.705000002,5334771.015,6
-156597.975000001,5334771.015,6
-135718.245000001,5334771.015,6
-114838.515000001,5334771.015,6
-8529369.705,5313891.285,4
-8508489.975,5313891.285,4
-8487610.245,5313891.285,4
-8466730.515,5313891.285,4
-8320572.405,5313891.285,4
-8299692.675,5313891.285,4
-8278812.945,5313891.285,4
-177477.705000002,5313891.285,6
-156597.975000001,5313891.285,6
-135718.245000001,5313891.285,6
-9114002.145,5293011.555,4
-8550249.435,5293011.555,4
-8529369.705,5293011.555,4
-8508489.975,5293011.555,4
-8487610.245,5293011.555,4
-8466730.515,5293011.555,4
-8341452.135,5293011.555,4
-8320572.405,5293011.555,4
-8299692.675,5293011.555,4
-8278812.945,5293011.555,4
-8257933.215,5293011.555,4
-8237053.485,5293011.555,4
-177477.705000002,5293011.555,6
-156597.975000001,5293011.555,6
-135718.245000001,5293011.555,6
-114838.515000001,5293011.555,6
-9197521.065,5272131.825,4
-9176641.335,5272131.825,4
-9155761.605,5272131.825,4
-9134881.875,5272131.825,4
-8571129.165,5272131.825,4
-8529369.705,5272131.825,4
-8508489.975,5272131.825,4
-8487610.245,5272131.825,4
-8466730.515,5272131.825,4
-8445850.785,5272131.825,4
-8362331.865,5272131.825,4
-8341452.135,5272131.825,4
-8320572.405,5272131.825,4
-8299692.675,5272131.825,4
-8278812.945,5272131.825,4
-8257933.215,5272131.825,4
-8153534.565,5272131.825,4
-177477.705000002,5272131.825,6
-156597.975000001,5272131.825,6
-135718.245000001,5272131.825,6
-114838.515000001,5272131.825,6
-93958.7850000001,5272131.825,6
-73079.0549999997,5272131.825,6
-9197521.065,5251252.095,4
-9176641.335,5251252.095,4
-9155761.605,5251252.095,4
-9134881.875,5251252.095,4
-8550249.435,5251252.095,4
-8508489.975,5251252.095,4
-8487610.245,5251252.095,4
-8466730.515,5251252.095,4
-8445850.785,5251252.095,4
-8404091.325,5251252.095,4
-8383211.595,5251252.095,4
-8362331.865,5251252.095,4
-8341452.135,5251252.095,4
-8320572.405,5251252.095,4
-8299692.675,5251252.095,4
-8278812.945,5251252.095,4
-8257933.215,5251252.095,4
-8237053.485,5251252.095,4
-8216173.755,5251252.095,4
-8195294.025,5251252.095,4
-8174414.295,5251252.095,4
-8153534.565,5251252.095,4
-8132654.835,5251252.095,4
-177477.705000002,5251252.095,6
-156597.975000001,5251252.095,6
-135718.245000001,5251252.095,6
-114838.515000001,5251252.095,6
-93958.7850000001,5251252.095,6
-73079.0549999997,5251252.095,6
-9197521.065,5230372.365,4
-9176641.335,5230372.365,4
-9155761.605,5230372.365,4
-8550249.435,5230372.365,4
-8529369.705,5230372.365,4
-8508489.975,5230372.365,4
-8487610.245,5230372.365,4
-8466730.515,5230372.365,4
-8445850.785,5230372.365,4
-8424971.055,5230372.365,4
-8404091.325,5230372.365,4
-8383211.595,5230372.365,4
-8362331.865,5230372.365,4
-8341452.135,5230372.365,4
-8320572.405,5230372.365,4
-8299692.675,5230372.365,4
-8278812.945,5230372.365,4
-8257933.215,5230372.365,4
-8237053.485,5230372.365,4
-8216173.755,5230372.365,4
-8195294.025,5230372.365,4
-8174414.295,5230372.365,4
-8153534.565,5230372.365,4
-8132654.835,5230372.365,4
-156597.975000001,5230372.365,6
-135718.245000001,5230372.365,6
-114838.515000001,5230372.365,6
-93958.7850000001,5230372.365,6
-9197521.065,5209492.635,4
-9176641.335,5209492.635,4
-8633768.355,5209492.635,4
-8592008.895,5209492.635,4
-8550249.435,5209492.635,4
-8529369.705,5209492.635,4
-8508489.975,5209492.635,4
-8487610.245,5209492.635,4
-8466730.515,5209492.635,4
-8445850.785,5209492.635,4
-8424971.055,5209492.635,4
-8404091.325,5209492.635,4
-8383211.595,5209492.635,4
-8362331.865,5209492.635,4
-8341452.135,5209492.635,4
-8320572.405,5209492.635,4
-8299692.675,5209492.635,4
-8278812.945,5209492.635,4
-8257933.215,5209492.635,4
-8237053.485,5209492.635,4
-8216173.755,5209492.635,4
-8195294.025,5209492.635,4
-8174414.295,5209492.635,4
-9218400.795,5188612.905,4
-9197521.065,5188612.905,4
-8654648.085,5188612.905,4
-8633768.355,5188612.905,4
-8612888.625,5188612.905,4
-8592008.895,5188612.905,4
-8550249.435,5188612.905,4
-8529369.705,5188612.905,4
-8508489.975,5188612.905,4
-8487610.245,5188612.905,4
-8466730.515,5188612.905,4
-8445850.785,5188612.905,4
-8424971.055,5188612.905,4
-8404091.325,5188612.905,4
-8383211.595,5188612.905,4
-8362331.865,5188612.905,4
-8341452.135,5188612.905,4
-8320572.405,5188612.905,4
-8299692.675,5188612.905,4
-8278812.945,5188612.905,4
-8257933.215,5188612.905,4
-8237053.485,5188612.905,4
-8216173.755,5188612.905,4
-8195294.025,5188612.905,4
-8049135.915,5188612.905,4
-7339225.095,5188612.905,4
-7318345.365,5188612.905,4
-9239280.525,5167733.175,4
-8675527.815,5167733.175,4
-8654648.085,5167733.175,4
-8633768.355,5167733.175,4
-8612888.625,5167733.175,4
-8592008.895,5167733.175,4
-8571129.165,5167733.175,4
-8550249.435,5167733.175,4
-8529369.705,5167733.175,4
-8508489.975,5167733.175,4
-8487610.245,5167733.175,4
-8466730.515,5167733.175,4
-8445850.785,5167733.175,4
-8424971.055,5167733.175,4
-8404091.325,5167733.175,4
-8383211.595,5167733.175,4
-8362331.865,5167733.175,4
-8341452.135,5167733.175,4
-8320572.405,5167733.175,4
-8299692.675,5167733.175,4
-8278812.945,5167733.175,4
-8257933.215,5167733.175,4
-8237053.485,5167733.175,4
-8216173.755,5167733.175,4
-8195294.025,5167733.175,4
-8174414.295,5167733.175,4
-8153534.565,5167733.175,4
-8049135.915,5167733.175,4
-7631541.315,5167733.175,4
-7610661.585,5167733.175,4
-7589781.855,5167733.175,4
-7568902.125,5167733.175,4
-7548022.395,5167733.175,4
-7527142.665,5167733.175,4
-7506262.935,5167733.175,4
-7485383.205,5167733.175,4
-7464503.475,5167733.175,4
-7443623.745,5167733.175,4
-7360104.825,5167733.175,4
-7339225.095,5167733.175,4
-7318345.365,5167733.175,4
-7297465.635,5167733.175,4
-9281039.985,5146853.445,4
-9260160.255,5146853.445,4
-9239280.525,5146853.445,4
-8717287.275,5146853.445,4
-8696407.545,5146853.445,4
-8675527.815,5146853.445,4
-8654648.085,5146853.445,4
-8633768.355,5146853.445,4
-8612888.625,5146853.445,4
-8592008.895,5146853.445,4
-8571129.165,5146853.445,4
-8550249.435,5146853.445,4
-8529369.705,5146853.445,4
-8508489.975,5146853.445,4
-8487610.245,5146853.445,4
-8466730.515,5146853.445,4
-8445850.785,5146853.445,4
-8424971.055,5146853.445,4
-8404091.325,5146853.445,4
-8383211.595,5146853.445,4
-8362331.865,5146853.445,4
-8341452.135,5146853.445,4
-8320572.405,5146853.445,4
-8299692.675,5146853.445,4
-8278812.945,5146853.445,4
-8257933.215,5146853.445,4
-8237053.485,5146853.445,4
-8216173.755,5146853.445,4
-8195294.025,5146853.445,4
-8174414.295,5146853.445,4
-8153534.565,5146853.445,4
-8111775.105,5146853.445,4
-8090895.375,5146853.445,4
-8049135.915,5146853.445,4
-8028256.185,5146853.445,4
-7652421.045,5146853.445,4
-7631541.315,5146853.445,4
-7610661.585,5146853.445,4
-7589781.855,5146853.445,4
-7568902.125,5146853.445,4
-7548022.395,5146853.445,4
-7527142.665,5146853.445,4
-7506262.935,5146853.445,4
-7485383.205,5146853.445,4
-7464503.475,5146853.445,4
-7360104.825,5146853.445,4
-7339225.095,5146853.445,4
-9281039.985,5125973.715,4
-9260160.255,5125973.715,4
-9239280.525,5125973.715,4
-8696407.545,5125973.715,4
-8675527.815,5125973.715,4
-8654648.085,5125973.715,4
-8633768.355,5125973.715,4
-8612888.625,5125973.715,4
-8592008.895,5125973.715,4
-8571129.165,5125973.715,4
-8550249.435,5125973.715,4
-8529369.705,5125973.715,4
-8508489.975,5125973.715,4
-8487610.245,5125973.715,4
-8466730.515,5125973.715,4
-8445850.785,5125973.715,4
-8424971.055,5125973.715,4
-8404091.325,5125973.715,4
-8383211.595,5125973.715,4
-8362331.865,5125973.715,4
-8341452.135,5125973.715,4
-8320572.405,5125973.715,4
-8299692.675,5125973.715,4
-8278812.945,5125973.715,4
-8257933.215,5125973.715,4
-8237053.485,5125973.715,4
-8216173.755,5125973.715,4
-8195294.025,5125973.715,4
-8174414.295,5125973.715,4
-8153534.565,5125973.715,4
-8132654.835,5125973.715,4
-8111775.105,5125973.715,4
-8090895.375,5125973.715,4
-8070015.645,5125973.715,4
-8049135.915,5125973.715,4
-8028256.185,5125973.715,4
-7673300.775,5125973.715,4
-7652421.045,5125973.715,4
-7631541.315,5125973.715,4
-7610661.585,5125973.715,4
-7589781.855,5125973.715,4
-7568902.125,5125973.715,4
-7548022.395,5125973.715,4
-7527142.665,5125973.715,4
-7506262.935,5125973.715,4
-7485383.205,5125973.715,4
-7464503.475,5125973.715,4
-7422744.015,5125973.715,4
-7401864.285,5125973.715,4
-7380984.555,5125973.715,4
-7360104.825,5125973.715,4
-9281039.985,5105093.985,4
-8654648.085,5105093.985,4
-8633768.355,5105093.985,4
-8612888.625,5105093.985,4
-8592008.895,5105093.985,4
-8571129.165,5105093.985,4
-8508489.975,5105093.985,4
-8487610.245,5105093.985,4
-8466730.515,5105093.985,4
-8445850.785,5105093.985,4
-8424971.055,5105093.985,4
-8404091.325,5105093.985,4
-8383211.595,5105093.985,4
-8362331.865,5105093.985,4
-8341452.135,5105093.985,4
-8320572.405,5105093.985,4
-8299692.675,5105093.985,4
-8278812.945,5105093.985,4
-8257933.215,5105093.985,4
-8237053.485,5105093.985,4
-8216173.755,5105093.985,4
-8195294.025,5105093.985,4
-8174414.295,5105093.985,4
-8132654.835,5105093.985,4
-8111775.105,5105093.985,4
-8090895.375,5105093.985,4
-8070015.645,5105093.985,4
-8049135.915,5105093.985,4
-8028256.185,5105093.985,4
-7715060.235,5105093.985,4
-7694180.505,5105093.985,4
-7673300.775,5105093.985,4
-7652421.045,5105093.985,4
-7631541.315,5105093.985,4
-7610661.585,5105093.985,4
-7589781.855,5105093.985,4
-7568902.125,5105093.985,4
-7548022.395,5105093.985,4
-7527142.665,5105093.985,4
-7506262.935,5105093.985,4
-7485383.205,5105093.985,4
-7464503.475,5105093.985,4
-7380984.555,5105093.985,4
-9322799.445,5084214.255,4
-8633768.355,5084214.255,4
-8612888.625,5084214.255,4
-8529369.705,5084214.255,4
-8508489.975,5084214.255,4
-8487610.245,5084214.255,4
-8466730.515,5084214.255,4
-8445850.785,5084214.255,4
-8424971.055,5084214.255,4
-8404091.325,5084214.255,4
-8383211.595,5084214.255,4
-8362331.865,5084214.255,4
-8341452.135,5084214.255,4
-8320572.405,5084214.255,4
-8299692.675,5084214.255,4
-8278812.945,5084214.255,4
-8257933.215,5084214.255,4
-8237053.485,5084214.255,4
-8216173.755,5084214.255,4
-8195294.025,5084214.255,4
-8132654.835,5084214.255,4
-8111775.105,5084214.255,4
-8090895.375,5084214.255,4
-8070015.645,5084214.255,4
-8049135.915,5084214.255,4
-8028256.185,5084214.255,4
-8007376.455,5084214.255,4
-7986496.725,5084214.255,4
-7965616.995,5084214.255,4
-7777699.425,5084214.255,4
-7756819.695,5084214.255,4
-7735939.965,5084214.255,4
-7715060.235,5084214.255,4
-7694180.505,5084214.255,4
-7673300.775,5084214.255,4
-7652421.045,5084214.255,4
-7631541.315,5084214.255,4
-7610661.585,5084214.255,4
-7589781.855,5084214.255,4
-7568902.125,5084214.255,4
-7548022.395,5084214.255,4
-7527142.665,5084214.255,4
-7506262.935,5084214.255,4
-7485383.205,5084214.255,4
-7464503.475,5084214.255,4
-6086441.295,5084214.255,4
-6065561.565,5084214.255,4
-6044681.835,5084214.255,4
-8612888.625,5063334.525,4
-8592008.895,5063334.525,4
-8529369.705,5063334.525,4
-8508489.975,5063334.525,4
-8487610.245,5063334.525,4
-8466730.515,5063334.525,4
-8445850.785,5063334.525,4
-8424971.055,5063334.525,4
-8404091.325,5063334.525,4
-8383211.595,5063334.525,4
-8362331.865,5063334.525,4
-8341452.135,5063334.525,4
-8320572.405,5063334.525,4
-8237053.485,5063334.525,4
-8216173.755,5063334.525,4
-8153534.565,5063334.525,4
-8132654.835,5063334.525,4
-8111775.105,5063334.525,4
-8090895.375,5063334.525,4
-8070015.645,5063334.525,4
-8049135.915,5063334.525,4
-8028256.185,5063334.525,4
-8007376.455,5063334.525,4
-7986496.725,5063334.525,4
-7882098.075,5063334.525,4
-7861218.345,5063334.525,4
-7840338.615,5063334.525,4
-7819458.885,5063334.525,4
-7798579.155,5063334.525,4
-7777699.425,5063334.525,4
-7756819.695,5063334.525,4
-7735939.965,5063334.525,4
-7715060.235,5063334.525,4
-7694180.505,5063334.525,4
-7673300.775,5063334.525,4
-7652421.045,5063334.525,4
-7631541.315,5063334.525,4
-7610661.585,5063334.525,4
-7589781.855,5063334.525,4
-7568902.125,5063334.525,4
-7548022.395,5063334.525,4
-7527142.665,5063334.525,4
-7506262.935,5063334.525,4
-7485383.205,5063334.525,4
-7464503.475,5063334.525,4
-7422744.015,5063334.525,4
-6149080.485,5063334.525,4
-6128200.755,5063334.525,4
-6107321.025,5063334.525,4
-6065561.565,5063334.525,4
-6044681.835,5063334.525,4
-8696407.545,5042454.795,4
-8675527.815,5042454.795,4
-8654648.085,5042454.795,4
-8633768.355,5042454.795,4
-8612888.625,5042454.795,4
-8571129.165,5042454.795,4
-8550249.435,5042454.795,4
-8529369.705,5042454.795,4
-8508489.975,5042454.795,4
-8487610.245,5042454.795,4
-8466730.515,5042454.795,4
-8445850.785,5042454.795,4
-8424971.055,5042454.795,4
-8404091.325,5042454.795,4
-8383211.595,5042454.795,4
-8362331.865,5042454.795,4
-8341452.135,5042454.795,4
-8320572.405,5042454.795,4
-8216173.755,5042454.795,4
-8195294.025,5042454.795,4
-8174414.295,5042454.795,4
-8153534.565,5042454.795,4
-8132654.835,5042454.795,4
-8111775.105,5042454.795,4
-8090895.375,5042454.795,4
-8070015.645,5042454.795,4
-8049135.915,5042454.795,4
-8028256.185,5042454.795,4
-8007376.455,5042454.795,4
-7986496.725,5042454.795,4
-7965616.995,5042454.795,4
-7902977.805,5042454.795,4
-7882098.075,5042454.795,4
-7861218.345,5042454.795,4
-7840338.615,5042454.795,4
-7819458.885,5042454.795,4
-7798579.155,5042454.795,4
-7777699.425,5042454.795,4
-7756819.695,5042454.795,4
-7735939.965,5042454.795,4
-7715060.235,5042454.795,4
-7694180.505,5042454.795,4
-7673300.775,5042454.795,4
-7652421.045,5042454.795,4
-7610661.585,5042454.795,4
-7589781.855,5042454.795,4
-7568902.125,5042454.795,4
-7548022.395,5042454.795,4
-7527142.665,5042454.795,4
-7506262.935,5042454.795,4
-7485383.205,5042454.795,4
-6169960.215,5042454.795,4
-6149080.485,5042454.795,4
-6128200.755,5042454.795,4
-6107321.025,5042454.795,4
-6086441.295,5042454.795,4
-6065561.565,5042454.795,4
-6044681.835,5042454.795,4
-8759046.735,5021575.065,4
-8738167.005,5021575.065,4
-8717287.275,5021575.065,4
-8696407.545,5021575.065,4
-8675527.815,5021575.065,4
-8654648.085,5021575.065,4
-8633768.355,5021575.065,4
-8592008.895,5021575.065,4
-8571129.165,5021575.065,4
-8550249.435,5021575.065,4
-8529369.705,5021575.065,4
-8508489.975,5021575.065,4
-8487610.245,5021575.065,4
-8466730.515,5021575.065,4
-8445850.785,5021575.065,4
-8424971.055,5021575.065,4
-8404091.325,5021575.065,4
-8383211.595,5021575.065,4
-8362331.865,5021575.065,4
-8341452.135,5021575.065,4
-8237053.485,5021575.065,4
-8216173.755,5021575.065,4
-8195294.025,5021575.065,4
-8174414.295,5021575.065,4
-8153534.565,5021575.065,4
-8132654.835,5021575.065,4
-8111775.105,5021575.065,4
-8090895.375,5021575.065,4
-8070015.645,5021575.065,4
-8049135.915,5021575.065,4
-8028256.185,5021575.065,4
-8007376.455,5021575.065,4
-7986496.725,5021575.065,4
-7965616.995,5021575.065,4
-7902977.805,5021575.065,4
-7882098.075,5021575.065,4
-7861218.345,5021575.065,4
-7840338.615,5021575.065,4
-7819458.885,5021575.065,4
-7798579.155,5021575.065,4
-7777699.425,5021575.065,4
-7756819.695,5021575.065,4
-7735939.965,5021575.065,4
-7715060.235,5021575.065,4
-7694180.505,5021575.065,4
-7673300.775,5021575.065,4
-7652421.045,5021575.065,4
-7631541.315,5021575.065,4
-7610661.585,5021575.065,4
-7548022.395,5021575.065,4
-7527142.665,5021575.065,4
-7506262.935,5021575.065,4
-7276585.905,5021575.065,4
-7255706.175,5021575.065,4
-6274358.865,5021575.065,4
-6253479.135,5021575.065,4
-6190839.945,5021575.065,4
-6169960.215,5021575.065,4
-6149080.485,5021575.065,4
-6107321.025,5021575.065,4
-6086441.295,5021575.065,4
-6065561.565,5021575.065,4
-8779926.465,5000695.335,4
-8759046.735,5000695.335,4
-8738167.005,5000695.335,4
-8717287.275,5000695.335,4
-8696407.545,5000695.335,4
-8675527.815,5000695.335,4
-8654648.085,5000695.335,4
-8633768.355,5000695.335,4
-8592008.895,5000695.335,4
-8571129.165,5000695.335,4
-8550249.435,5000695.335,4
-8529369.705,5000695.335,4
-8508489.975,5000695.335,4
-8487610.245,5000695.335,4
-8466730.515,5000695.335,4
-8445850.785,5000695.335,4
-8424971.055,5000695.335,4
-8404091.325,5000695.335,4
-8383211.595,5000695.335,4
-8362331.865,5000695.335,4
-8341452.135,5000695.335,4
-8320572.405,5000695.335,4
-8299692.675,5000695.335,4
-8278812.945,5000695.335,4
-8257933.215,5000695.335,4
-8237053.485,5000695.335,4
-8216173.755,5000695.335,4
-8195294.025,5000695.335,4
-8174414.295,5000695.335,4
-8153534.565,5000695.335,4
-8132654.835,5000695.335,4
-8111775.105,5000695.335,4
-8090895.375,5000695.335,4
-8070015.645,5000695.335,4
-8049135.915,5000695.335,4
-8028256.185,5000695.335,4
-8007376.455,5000695.335,4
-7986496.725,5000695.335,4
-7965616.995,5000695.335,4
-7944737.265,5000695.335,4
-7923857.535,5000695.335,4
-7902977.805,5000695.335,4
-7882098.075,5000695.335,4
-7861218.345,5000695.335,4
-7840338.615,5000695.335,4
-7819458.885,5000695.335,4
-7798579.155,5000695.335,4
-7777699.425,5000695.335,4
-7756819.695,5000695.335,4
-7735939.965,5000695.335,4
-7715060.235,5000695.335,4
-7694180.505,5000695.335,4
-7673300.775,5000695.335,4
-7652421.045,5000695.335,4
-7631541.315,5000695.335,4
-7610661.585,5000695.335,4
-7589781.855,5000695.335,4
-7506262.935,5000695.335,4
-7485383.205,5000695.335,4
-7464503.475,5000695.335,4
-7443623.745,5000695.335,4
-6336998.055,5000695.335,4
-6316118.325,5000695.335,4
-6295238.595,5000695.335,4
-6274358.865,5000695.335,4
-6232599.405,5000695.335,4
-6211719.675,5000695.335,4
-6190839.945,5000695.335,4
-6169960.215,5000695.335,4
-6128200.755,5000695.335,4
-6107321.025,5000695.335,4
-6086441.295,5000695.335,4
-8800806.195,4979815.605,4
-8779926.465,4979815.605,4
-8759046.735,4979815.605,4
