species,nodulation
Acacia_farinosa,Yes
Acacia_farnesiana,Yes
Acacia_fauntleroyi,Yes
Acacia_filicifolia,Yes
Acacia_filifolia,Yes
Acacia_fimbriata,Yes
Acacia_flabellifolia,Yes
Acacia_flavescens,Yes
Acacia_flavipila,Yes
Acacia_fleckeri,Yes
Acacia_flexifolia,Yes
Acacia_flocktoniae,Yes
Acacia_floribunda,Yes
Acacia_fragilis,Yes
Acacia_froggattii,Yes
Acacia_fulva,Yes
Acacia_furcatispina,Yes
Acacia_galeata,Yes
Acacia_galioides,Yes
Acacia_galpinii,Yes
Acacia_gaumeri,Yes
Acacia_gemina,Yes
Acacia_gentlei,Yes
Acacia_georginae,Yes
Acacia_gerrardii,Yes
Acacia_gilesiana,Yes
Acacia_gillii,Yes
Acacia_gladiiformis,Yes
Acacia_glandulifera,Yes
Acacia_glaucocarpa,Yes
Acacia_globulifera,Yes
Acacia_glomerosa,Yes
Acacia_goetzei,Yes
Acacia_goldmanii,Yes
Acacia_gonocarpa,Yes
Acacia_gonoclada,Yes
Acacia_gourmaensis,Yes
Acacia_gracilifolia,Yes
Acacia_grandicornuta,Yes
Acacia_grayana,Yes
Acacia_greggii,Yes
Acacia_grisea,Yes
Acacia_gummifera,Yes
Acacia_gunnii,Yes
Acacia_haematoxylon,Yes
Acacia_hakeoides,Yes
Acacia_hamersleyensis,Yes
Acacia_hammondii,Yes
Acacia_harmandiana,Yes
Acacia_harpophylla,Yes
Acacia_hartwegii,Yes
Acacia_harveyi,Yes
Acacia_havilandiorum,Yes
Acacia_hayesii,Yes
Acacia_hebeclada,Yes
Acacia_hecatophylla,Yes
Acacia_hemignosta,Yes
Acacia_hemiteles,Yes
Acacia_hereroensis,Yes
Acacia_hindsii,Yes
Acacia_hippuroides,Yes
Acacia_hispidula,Yes
Acacia_hockii,Yes
Acacia_hockingsii,Yes
Acacia_holosericea,Yes
Acacia_homalophylla,Yes
Acacia_horridula,Yes
Acacia_howittii,Yes
Acacia_humifusa,Yes
Acacia_hydaspica,Yes
Acacia_idiomorpha,Yes
Acacia_implexa,Yes
Acacia_inaequilatera,Yes
Acacia_ingrata,Yes
Acacia_interior,Yes
Acacia_irrorata,Yes
Acacia_islana,Yes
Acacia_iteaphylla,Yes
Acacia_ixiophylla,Yes
Acacia_ixodes,Yes
Acacia_jacksonioides,Yes
Acacia_jennerae,Yes
Acacia_jibberdingensis,Yes
Acacia_jonesii,Yes
Acacia_jucunda,Yes
Acacia_julifera,Yes
Acacia_karroo,Yes
Acacia_kelleri,Yes
Acacia_kempeana,Yes
Acacia_kettlewelliae,Yes
Acacia_kraussiana,Yes
Acacia_kuhlmannii,Yes
Acacia_kydrensis,Yes
Acacia_lachnophylla,Yes
Acacia_laeta,Yes
Acacia_lahai,Yes
Acacia_lanigera,Yes
Acacia_lasiocalyx,Yes
Acacia_lasiocarpa,Yes
Acacia_latifolia,Yes
Acacia_latipes,Yes
Acacia_latisepala,Yes
Acacia_leiocalyx,Yes
Acacia_leioderma,Yes
Acacia_lentiginea,Yes
Acacia_leprosa,Yes
Acacia_leptoclada,Yes
Acacia_leptopetala,Yes
Acacia_leptophleba,Yes
Acacia_leptospermoides,Yes
Acacia_leptostachya,Yes
Acacia_leucoclada,Yes
Acacia_leucophloea,Yes
Acacia_ligulata,Yes
Acacia_limbata,Yes
Acacia_linearifolia,Yes
Acacia_linifolia,Yes
Acacia_loderi,Yes
Acacia_longifolia,Yes
Acacia_longispicata,Yes
Acacia_longispinea,Yes
Acacia_lunata,Yes
Acacia_lycopodiifolia,Yes
Acacia_lysiphloia,Yes
Acacia_macilenta,Yes
Acacia_macracantha,Yes
