species,nodulation
Microlobius_foetidus,Yes
Mimosa_acantholoba,Yes
Mimosa_acapulcensis,Yes
Mimosa_acerba,Yes
Mimosa_aculeaticarpa,Yes
Mimosa_adenantheroides,Yes
Mimosa_affinis,Yes
Mimosa_albida,Yes
Mimosa_albolanata,Yes
Mimosa_annularis,Yes
Mimosa_antioquensis,Yes
Mimosa_antrorsa,Yes
Mimosa_arenosa,Yes
Mimosa_asperata,Yes
Mimosa_aurivillus,Yes
Mimosa_bahamensis,Yes
Mimosa_benthamii,Yes
Mimosa_bimucronata,Yes
Mimosa_bonplandii,Yes
Mimosa_borealis,Yes
Mimosa_brachycarpa,Yes
Mimosa_brandegeei,Yes
Mimosa_brandegei,Yes
Mimosa_brevispicata,Yes
Mimosa_caerulea,Yes
Mimosa_caesalpiniifolia,Yes
Mimosa_cainguensis,Yes
Mimosa_calcicola,Yes
Mimosa_camporum,Yes
Mimosa_chaetocarpa,Yes
Mimosa_claussenii,Yes
Mimosa_colombiana,Yes
Mimosa_congestifolia,Yes
Mimosa_cordistipula,Yes
Mimosa_costenya,Yes
Mimosa_cruenta,Yes
Mimosa_cyclophylla,Yes
Mimosa_daleoides,Yes
Mimosa_deamii,Yes
Mimosa_debilis,Yes
Mimosa_decorticans,Yes
Mimosa_depauperata,Yes
Mimosa_diplotricha,Yes
Mimosa_distachya,Yes
Mimosa_distans,Yes
Mimosa_diversifolia,Yes
Mimosa_diversipila,Yes
Mimosa_dolens,Yes
Mimosa_dormiens,Yes
Mimosa_dryandroides,Yes
Mimosa_egregia,Yes
Mimosa_emoryana,Yes
Mimosa_ephedroides,Yes
Mimosa_ervendbergii,Yes
Mimosa_flagellaris,Yes
Mimosa_flocculosa,Yes
Mimosa_foliolosa,Yes
Mimosa_galeottii,Yes
Mimosa_gemmulata,Yes
Mimosa_gentryi,Yes
Mimosa_glaucescens,Yes
Mimosa_glutinosa,Yes
Mimosa_goldmanii,Yes
Mimosa_gracilis,Yes
Mimosa_grahamii,Yes
Mimosa_guaranitica,Yes
Mimosa_guatemalensis,Yes
Mimosa_guilandinae,Yes
Mimosa_guirocobensis,Yes
Mimosa_gymnas,Yes
Mimosa_hilariana,Yes
Mimosa_hirsutissima,Yes
Mimosa_hondurana,Yes
Mimosa_hypoglauca,Yes
Mimosa_hystricina,Yes
Mimosa_incarum,Yes
Mimosa_invisa,Yes
Mimosa_ionema,Yes
Mimosa_lacerata,Yes
Mimosa_lactiflua,Yes
Mimosa_lanuginosa,Yes
Mimosa_lasiocarpa,Yes
Mimosa_laxiflora,Yes
Mimosa_lepidota,Yes
Mimosa_leptocarpa,Yes
Mimosa_leucaenoides,Yes
Mimosa_luisana,Yes
Mimosa_malacocarpa,Yes
Mimosa_malacophylla,Yes
Mimosa_manidea,Yes
Mimosa_margaritae,Yes
Mimosa_martindelcampoi,Yes
Mimosa_maxonii,Yes
Mimosa_melanocarpa,Yes
Mimosa_mellii,Yes
Mimosa_meticulosa,Yes
Mimosa_micheliana,Yes
Mimosa_microcephala,Yes
Mimosa_micropteris,Yes
Mimosa_minutifolia,Yes
Mimosa_mollis,Yes
Mimosa_monancistra,Yes
Mimosa_moniliformis,Yes
Mimosa_myriadena,Yes
Mimosa_nanchititlana,Yes
Mimosa_nelsonii,Yes
Mimosa_neptuniodes,Yes
Mimosa_nuda,Yes
Mimosa_nuttallii,Yes
Mimosa_obovata,Yes
Mimosa_obstrigosa,Yes
Mimosa_occidentalis,Yes
Mimosa_oligacantha,Yes
Mimosa_oligophylla,Yes
Mimosa_orthacantha,Yes
Mimosa_orthocarpa,Yes
Mimosa_palmeri,Yes
Mimosa_paludosa,Yes
Mimosa_paucijuga,Yes
Mimosa_paupera,Yes
Mimosa_pectinatipinna,Yes
Mimosa_pedersenii,Yes
Mimosa_pellita,Yes
Mimosa_pigra,Yes
Mimosa_pilulifera,Yes
Mimosa_pithecolobioides,Yes
Mimosa_platycarpa,Yes
Mimosa_pogocephala,Yes
Mimosa_polyancistra,Yes
Mimosa_polyantha,Yes
Mimosa_polycarpa,Yes
Mimosa_polycephala,Yes
Mimosa_potosina,Yes
Mimosa_pringlei,Yes
Mimosa_pseudoradula,Yes
Mimosa_psilocarpa,Yes
Mimosa_pteridifolia,Yes
Mimosa_pudica,Yes
Mimosa_purpurascens,Yes
Mimosa_purpusii,Yes
Mimosa_quadrivalvis,Yes
Mimosa_radula,Yes
Mimosa_ramosissima,Yes
Mimosa_rhodocarpa,Yes
Mimosa_rhododactyla,Yes
Mimosa_rosei,Yes
Mimosa_rufescens,Yes
Mimosa_scabrella,Yes
Mimosa_schleidenii,Yes
Mimosa_schomburgkii,Yes
Mimosa_sensibilis,Yes
Mimosa_setosa,Yes
Mimosa_sicyocarpa,Yes
Mimosa_similis,Yes
Mimosa_sinaloensis,Yes
Mimosa_skinneri,Yes
Mimosa_somnians,Yes
Mimosa_sousae,Yes
Mimosa_spirocarpa,Yes
Mimosa_strigillosa,Yes
Mimosa_tenuiflora,Yes
Mimosa_townsendii,Yes
Mimosa_tricephala,Yes
Mimosa_turneri,Yes
Mimosa_unipinnata,Yes
Mimosa_ursina,Yes
Mimosa_velloziana,Yes
Mimosa_venatorum,Yes
Mimosa_virgula,Yes
Mimosa_warnockii,Yes
Mimosa_watsonii,Yes
Mimosa_wherryana,Yes
Mimosa_xanthocentra,Yes
Mimosa_xanti,Yes
Mimosa_xochipalensis,Yes
Mimosa_zacapana,Yes
Mimosa_zygophylla,Yes
Neptunia_gracilis,Yes
Neptunia_lutea,Yes
Neptunia_natans,Yes
Neptunia_oleracea,Yes
Neptunia_plena,Yes
Neptunia_pubescens,Yes
Newtonia_buchananii,No
Newtonia_hildebrandtii,No
Newtonia_leucocarpa,No
Parapiptadenia_excelsa,Yes
Paraserianthes_lophantha,Yes
Parkia_cachimboensis,No
Parkia_discolor,No
Parkia_filicoidea,No
Parkia_nitida,No
Parkia_panurensis,No
Parkia_pendula,No
Parkia_platycephala,No
Parkia_reticulata,No
Parkia_ulei,No
Parkia_velutina,No
Pentaclethra_macrophylla,Yes
Piptadenia_buchtienii,Yes
Piptadenia_flava,Yes
Piptadenia_fruticosa,Yes
Piptadenia_gonoacantha,Yes
Piptadenia_macradenia,Yes
Piptadenia_moniliformis,Yes
Piptadenia_obliqua,Yes
Piptadenia_paniculata,Yes
Piptadenia_robusta,Yes
Piptadeniastrum_africanum,Yes
Pithecellobium_albicaule,Yes
Pithecellobium_bahamense,Yes
Pithecellobium_campestre,Yes
Pithecellobium_diversifolium,Yes
Pithecellobium_dulce,Yes
Pithecellobium_elachistophyllum,Yes
Pithecellobium_excelsum,Yes
Pithecellobium_furcatum,Yes
Pithecellobium_halogenes,Yes
Pithecellobium_hymenaeafolium,Yes
Pithecellobium_insigne,Yes
Pithecellobium_lanceolatum,Yes
Pithecellobium_macrandrium,Yes
Pithecellobium_oblongum,Yes
Pithecellobium_pistaciifolium,Yes
Pithecellobium_roseum,Yes
Pithecellobium_seleri,Yes
Pityrocarpa_moniliformis,Yes
Pityrocarpa_obliqua,Yes
Plathymenia_reticulata,Yes
Prosopis_affinis,Yes
Prosopis_alba,Yes
Prosopis_articulata,Yes
Prosopis_caldenia,Yes
Prosopis_campestris,Yes
Prosopis_chilensis,Yes
Prosopis_farcta,Yes
Prosopis_ferox,Yes
Prosopis_flexuosa,Yes
Prosopis_glandulosa,Yes
Prosopis_globosa,Yes
Prosopis_juliflora,Yes
Prosopis_laevigata,Yes
Prosopis_nigra,Yes
Prosopis_pallida,Yes
Prosopis_palmeri,Yes
Prosopis_pubescens,Yes
Prosopis_reptans,Yes
Prosopis_ruscifolia,Yes
Prosopis_tamarugo,Yes
Prosopis_tamaulipana,Yes
Prosopis_torquata,Yes
Pseudopiptadenia_psilostachya,Yes
Pseudopiptadenia_schumanniana,Yes
Samanea_dinklagei,Yes
Senegalia_amazonica,Yes
Senegalia_bahiensis,Yes
Senegalia_etilis,Yes
Senegalia_feddeana,Yes
Senegalia_gilliesii,Yes
Senegalia_miersii,Yes
Senegalia_parviceps,Yes
Senegalia_polyphylla,Yes
Senegalia_skleroxyla,Yes
Senegalia_velutina,Yes
Senegalia_visco,Yes
Serianthes_nelsonii,Yes
Stryphnodendron_adstringens,Yes
Stryphnodendron_guianense,Yes
Stryphnodendron_microstachyum,Yes
Stryphnodendron_polyphyllum,Yes
Stryphnodendron_pulcherrimum,Yes
Tetrapleura_chevalieri,No
Tetrapleura_tetraptera,No
Vachellia_campechiana,Yes
Vachellia_collinsii,Yes
Vachellia_ruddiae,Yes
Wallaceodendron_celebicum,Yes
Xerocladia_viridiramis,Yes
Xylia_fraterna,Yes
Xylia_hoffmannii,Yes
Xylia_xylocarpa,Yes
Zapoteca_alinae,No
Zapoteca_lambertiana,No
Zapoteca_media,No
Zapoteca_portoricensis,No
Zapoteca_ravenii,No
Zapoteca_tetragona,No
Zygia_brenesii,Yes
Zygia_claviflora,Yes
Zygia_coccinea,Yes
Zygia_cognata,Yes
Zygia_confusa,Yes
Zygia_conzattii,Yes
Zygia_englesingii,Yes
Zygia_juruana,Yes
Zygia_lathetica,Yes
Zygia_latifolia,Yes
Zygia_longifolia,Yes
Zygia_paucijugata,Yes
Zygia_peckii,Yes
Zygia_racemosa,Yes
Zygia_recordii,Yes
Zygia_rhytidocarpa,Yes
Zygia_unifoliolata,Yes
