"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Acacia caffra","","BSRQD","BT8ZF","BT8ZF","Acacia caffra (Thunb.) Willd.","Acacia caffra","(Thunb.) Willd.","synonym","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.","SPECIES:Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.|SECTION BOTANY:sect. Senegalia|GENUS:Senegalia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Senegalia"
"Acacia calamifolia","","BSJK8","BSJK8","9JGMY","Acacia calamifolia Sweet ex Lindl.","Acacia calamifolia","Sweet ex Lindl.","accepted","Acacia calamifolia Sweet ex Lindl.","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia calcarata","","BSJKC","BSJKC","9JGMY","Acacia calcarata Maiden & Blakely","Acacia calcarata","Maiden & Blakely","accepted","Acacia calcarata Maiden & Blakely","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia calcicola","","BSGJH","BSGJH","BYZTL","Acacia calcicola Forde & Ising","Acacia calcicola","Forde & Ising","accepted","Acacia calcicola Forde & Ising","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia calyculata","","BSJKG","BSJKG","BYZSL","Acacia calyculata A.Cunn. ex Benth.","Acacia calyculata","A.Cunn. ex Benth.","accepted","Acacia calyculata A.Cunn. ex Benth.","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cambagei","","BSJKH","BSJKH","BYZTL","Acacia cambagei R.T.Baker","Acacia cambagei","R.T.Baker","accepted","Acacia cambagei R.T.Baker","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cana","","BSJKL","BSJKL","BYZTL","Acacia cana Maiden","Acacia cana","Maiden","accepted","Acacia cana Maiden","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cangaiensis","","BSJKN","BSJKN","BYZS4","Acacia cangaiensis Tindale & Kodela","Acacia cangaiensis","Tindale & Kodela","accepted","Acacia cangaiensis Tindale & Kodela","SECTION BOTANY:sect. Botrycephalae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cardiophylla","","BSJKS","BSJKS","BYZS4","Acacia cardiophylla A.Cunn. ex Benth.","Acacia cardiophylla","A.Cunn. ex Benth.","accepted","Acacia cardiophylla A.Cunn. ex Benth.","SECTION BOTANY:sect. Botrycephalae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia carnosula","","BSGJL","BSGJL","9JGMY","Acacia carnosula Maslin","Acacia carnosula","Maslin","accepted","Acacia carnosula Maslin","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia caroleae","","BSJKV","BSJKV","BYZSL","Acacia caroleae Pedley","Acacia caroleae","Pedley","accepted","Acacia caroleae Pedley","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia catechu","","9JPJL","BTFCC","BTFCC","Acacia catechu sens. Schweinf.","Acacia catechu","sens. Schweinf.","misapplied","Senegalia polyacantha subsp. campylacantha (Hochst. ex A.Rich.) Kyal. & Boatwr.","SUBSPECIES:Senegalia polyacantha subsp. campylacantha (Hochst. ex A.Rich.) Kyal. & Boatwr.|SPECIES:Senegalia polyacantha (Willd.) Seigler & Ebinger|SECTION BOTANY:sect. Senegalia|GENUS:Senegalia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Senegalia"
"Acacia catenulata","","BSGJM","BSGJM","BYZSL","Acacia catenulata C.T.White","Acacia catenulata","C.T.White","accepted","Acacia catenulata C.T.White","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cavealis","","BSGJN","BSGJN","BYZTL","Acacia cavealis R.S.Cowan & Maslin","Acacia cavealis","R.S.Cowan & Maslin","accepted","Acacia cavealis R.S.Cowan & Maslin","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia caven","","BSRQQ","BTCCK","BTCCK","Acacia caven (Molina) Molina","Acacia caven","(Molina) Molina","synonym","Vachellia caven (Molina) Seigler & Ebinger","SPECIES:Vachellia caven (Molina) Seigler & Ebinger|GENUS:Vachellia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Vachellia"
"Acacia centralis","","BSRQS","BT4JQ","BT4JQ","Acacia centralis (Britton & Rose) Lundell","Acacia centralis","(Britton & Rose) Lundell","synonym","Mariosousa centralis (Britton & Rose) Seigler & Ebinger","SPECIES:Mariosousa centralis (Britton & Rose) Seigler & Ebinger|GENUS:Mariosousa|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Mariosousa"
"Acacia chamaeleon","","BSJL6","BSJL6","9JGMY","Acacia chamaeleon Maslin","Acacia chamaeleon","Maslin","accepted","Acacia chamaeleon Maslin","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chartacea","","BSGJS","BSGJS","9JGMY","Acacia chartacea Maslin","Acacia chartacea","Maslin","accepted","Acacia chartacea Maslin","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cheelii","","BSJL8","BSJL8","BYZSL","Acacia cheelii Blakely","Acacia cheelii","Blakely","accepted","Acacia cheelii Blakely","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chiapensis","","BSHH4","BTCCM","BTCCM","Acacia chiapensis Saff.","Acacia chiapensis","Saff.","synonym","Vachellia chiapensis (Saff.) Seigler & Ebinger","SPECIES:Vachellia chiapensis (Saff.) Seigler & Ebinger|GENUS:Vachellia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Vachellia"
"Acacia chippendalei","","BSJL9","BSJL9","BYZSQ","Acacia chippendalei Pedley","Acacia chippendalei","Pedley","accepted","Acacia chippendalei Pedley","SECTION BOTANY:sect. Lycopodiifoliae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chisholmii","","BSJLB","BSJLB","BYZSL","Acacia chisholmii F.M.Bailey","Acacia chisholmii","F.M.Bailey","accepted","Acacia chisholmii F.M.Bailey","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chrysocephala","","BSGJV","BSGJV","9JGMY","Acacia chrysocephala Maslin","Acacia chrysocephala","Maslin","accepted","Acacia chrysocephala Maslin","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chrysochaeta","","BSJLH","BSJLH","BYZSL","Acacia chrysochaeta Maslin","Acacia chrysochaeta","Maslin","accepted","Acacia chrysochaeta Maslin","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia chrysopoda","","BSJLJ","BSJLJ","BYZTL","Acacia chrysopoda Maiden & Blakely","Acacia chrysopoda","Maiden & Blakely","accepted","Acacia chrysopoda Maiden & Blakely","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia citrinoviridis","","BSJLT","BSJLT","BYZSL","Acacia citrinoviridis Tindale & Maslin","Acacia citrinoviridis","Tindale & Maslin","accepted","Acacia citrinoviridis Tindale & Maslin","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cochlearis","","BSJMC","BSJMC","BYZTL","Acacia cochlearis (Labill.) H.L.Wendl.","Acacia cochlearis","(Labill.) H.L.Wendl.","accepted","Acacia cochlearis (Labill.) H.L.Wendl.","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cochliacantha","","BSRR4","BTHD2","BTHD2","Acacia cochliacantha Humb. & Bonpl. ex Willd.","Acacia cochliacantha","Humb. & Bonpl. ex Willd.","synonym","Vachellia campeachiana (Mill.) Seigler & Ebinger","SPECIES:Vachellia campeachiana (Mill.) Seigler & Ebinger|GENUS:Vachellia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Vachellia"
"Acacia cochlocarpa","","BSGJW","BSGJW","BYZSL","Acacia cochlocarpa Meisn.","Acacia cochlocarpa","Meisn.","accepted","Acacia cochlocarpa Meisn.","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cognata","","BSGJX","BSGJX","BYZTL","Acacia cognata Domin","Acacia cognata","Domin","accepted","Acacia cognata Domin","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia colletioides","","8NZY","8NZY","BYZTL","Acacia colletioides Benth.","Acacia colletioides","Benth.","accepted","Acacia colletioides Benth.","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia collinsii","","BSHH5","BSKWB","BSKWB","Acacia collinsii Saff.","Acacia collinsii","Saff.","synonym","Vachellia collinsii (Saff.) Seigler & Ebinger","SPECIES:Vachellia collinsii (Saff.) Seigler & Ebinger|GENUS:Vachellia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Vachellia"
"Acacia comans","","BSJMJ","BSJMJ","BYZTL","Acacia comans W.Fitzg.","Acacia comans","W.Fitzg.","accepted","Acacia comans W.Fitzg.","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia compacta","","BSRR6","BSHTF","BSHTF","Acacia compacta Rose","Acacia compacta","Rose","synonym","Mariosousa compacta (Rose) Seigler & Ebinger","SPECIES:Mariosousa compacta (Rose) Seigler & Ebinger|GENUS:Mariosousa|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Mariosousa"
"Acacia complanata","","BSJML","BSJML","BYZTL","Acacia complanata A.Cunn. ex Benth.","Acacia complanata","A.Cunn. ex Benth.","accepted","Acacia complanata A.Cunn. ex Benth.","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia concinna","","8P28","BSPYN","BSPYN","Acacia concinna (Willd.) DC.","Acacia concinna","(Willd.) DC.","ambiguous synonym","Senegalia rugata (Lam.) Britton & Rose","SPECIES:Senegalia rugata (Lam.) Britton & Rose|SECTION BOTANY:Monacanthea sect. Monacanthea pro parte|GENUS:Senegalia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Senegalia"
"Acacia concurrens","","BSGK2","BSGK2","BYZSL","Acacia concurrens Pedley","Acacia concurrens","Pedley","accepted","Acacia concurrens Pedley","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia conferta","","BSJMQ","BSJMQ","9JGMY","Acacia conferta A.Cunn. ex Benth.","Acacia conferta","A.Cunn. ex Benth.","accepted","Acacia conferta A.Cunn. ex Benth.","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia confluens","","BSGK3","BSGK3","9JGMY","Acacia confluens Maiden & Blakely","Acacia confluens","Maiden & Blakely","accepted","Acacia confluens Maiden & Blakely","SECTION BOTANY:sect. Acacia|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia confusa","","BSGK4","BSGK4","BYZTL","Acacia confusa Merr.","Acacia confusa","Merr.","accepted","Acacia confusa Merr.","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia consanguinea","","BSJMT","BSJMT","BYZTL","Acacia consanguinea R.S.Cowan & Maslin","Acacia consanguinea","R.S.Cowan & Maslin","accepted","Acacia consanguinea R.S.Cowan & Maslin","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia consobrina","","BSGK6","BSGK6","BYZTL","Acacia consobrina R.S.Cowan & Maslin","Acacia consobrina","R.S.Cowan & Maslin","accepted","Acacia consobrina R.S.Cowan & Maslin","SECTION BOTANY:sect. Plurinerves|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia constablei","","BSGK7","BSGK7","BYZS4","Acacia constablei Tindale","Acacia constablei","Tindale","accepted","Acacia constablei Tindale","SECTION BOTANY:sect. Botrycephalae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia continua","","BSGK8","BSGK8","BYZRT","Acacia continua Benth.","Acacia continua","Benth.","accepted","Acacia continua Benth.","SECTION BOTANY:sect. Alatae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
"Acacia cookii","","BSHH6","BTCCP","BTCCP","Acacia cookii Saff.","Acacia cookii","Saff.","synonym","Vachellia cookii (Saff.) Seigler & Ebinger","SPECIES:Vachellia cookii (Saff.) Seigler & Ebinger|GENUS:Vachellia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Vachellia"
"Acacia coolgardiensis","","BSJMX","BSJMX","BYZSL","Acacia coolgardiensis Maiden","Acacia coolgardiensis","Maiden","accepted","Acacia coolgardiensis Maiden","SECTION BOTANY:sect. Juliflorae|GENUS:Acacia|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Acacia"
