"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Abarema cochleata","","63Z3P","9DZT8","9DZT8","Abarema cochleata (Willd.) Barneby & J.W.Grimes","Abarema cochleata","(Willd.) Barneby & J.W.Grimes","synonym","Jupunba cochleata (Willd.) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba cochleata (Willd.) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema cochliocarpos","","","","","","","","","","","","","","","",""
"Abarema commutata","","8JBW","9DZT9","9DZT9","Abarema commutata Barneby & J.W.Grimes","Abarema commutata","Barneby & J.W.Grimes","synonym","Jupunba commutata (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba commutata (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema curvicarpa","","8JC2","9DZTB","9DZTB","Abarema curvicarpa (H.S.Irwin) Barneby & J.W.Grimes","Abarema curvicarpa","(H.S.Irwin) Barneby & J.W.Grimes","synonym","Jupunba curvicarpa (H.S.Irwin) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba curvicarpa (H.S.Irwin) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema floribunda","","8JC9","9DZTF","9DZTF","Abarema floribunda (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema floribunda","(Spruce ex Benth.) Barneby & J.W.Grimes","synonym","Jupunba floribunda (Spruce ex Benth.) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba floribunda (Spruce ex Benth.) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema ganymedea","","8JCB","9DZTH","9DZTH","Abarema ganymedea Barneby & J.W.Grimes","Abarema ganymedea","Barneby & J.W.Grimes","synonym","Jupunba ganymedea (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba ganymedea (Barneby & J.W.Grimes) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema glauca","","8JCC","3QV3G","3QV3G","Abarema glauca (Urb.) Barneby & J.W.Grimes","Abarema glauca","(Urb.) Barneby & J.W.Grimes","synonym","Jupunba glauca (Urb.) Britton & Rose","SPECIES:Jupunba glauca (Urb.) Britton & Rose|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema idiopoda","","8JCM","9DZTJ","9DZTJ","Abarema idiopoda (S.F.Blake) Barneby & J.W.Grimes","Abarema idiopoda","(S.F.Blake) Barneby & J.W.Grimes","synonym","Jupunba idiopoda (S.F.Blake) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba idiopoda (S.F.Blake) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema jupunba","","8JCP","9FPMQ","9FPMQ","Abarema jupunba (Willd.) Britton & Killip","Abarema jupunba","(Willd.) Britton & Killip","synonym","Jupunba trapezifolia var. micradenia (Benth.) M.V.B.Soares, M.P.Morim & Iganci","VARIETY:Jupunba trapezifolia var. micradenia (Benth.) M.V.B.Soares, M.P.Morim & Iganci|SPECIES:Jupunba trapezifolia (Vahl) Moldenke|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
"Abarema langsdorffii","","9CMJ8","9DZTL","9DZTL","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes","Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes","synonym","Jupunba langsdorffii (Benth.) M.V.B.Soares, M.P.Morim & Iganci","SPECIES:Jupunba langsdorffii (Benth.) M.V.B.Soares, M.P.Morim & Iganci|GENUS:Jupunba Britton & Rose|FAMILY:Fabaceae|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978","Plantae","Tracheophyta","Magnoliopsida","Fabales Bromhead","Fabaceae","Jupunba Britton & Rose"
